"wage","education","experience","age","ethnicitycauc","ethnicityhispanic","ethnicityother","regionsouth","regionother","gendermale","genderfemale","occupationworker","occupationtechnical","occupationservices","occupationoffice","occupationsales","occupationmanagement","sectormanufacturing","sectorconstruction","sectorother","unionno","unionyes","marriedno","marriedyes"
-0.763570678231192,-1.91893366832327,0.256702507503974,-0.156340081344227,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1
-0.7927586862134,-1.5365789747096,1.95302656121615,1.71974089478649,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1
-0.458069528017411,-0.389514893868604,-1.35884421031715,-1.52076260943929,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0
-0.97761607010072,-0.389514893868604,-1.11651220264398,-1.26493338542147,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0
-0.296562550515859,-0.389514893868604,-0.0664068360602502,-0.156340081344227,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
0.787285479223478,-0.00716020025493783,-0.712625523188699,-0.753274937385818,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0
-0.890052046154095,-1.15422428109594,0.741366522850311,0.525871182703307,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0
2.03264048646437,-0.389514893868604,-0.712625523188699,-0.83855134539176,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0
0.82814869039857,1.13990388058606,-0.551070851406587,-0.32689289735611,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1
-0.0533291506641223,-0.389514893868604,-0.712625523188699,-0.83855134539176,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0
0.452596321027489,-0.389514893868604,-0.0664068360602502,-0.156340081344227,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1
0.481784329009697,-0.389514893868604,0.095147835721862,0.0142127346676567,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0
-0.491149270397247,-1.91893366832327,0.741366522850311,0.355318366691423,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
-0.539795950367595,-1.5365789747096,0.983698530523479,0.69642399871519,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0
2.13187971360388,-1.5365789747096,0.902921194632423,0.611147590709248,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
